trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.01, 'e': 0.5099857462495653}",25,11,-15.566738543257422,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5048858887870696}",20,9,-5.207687723114531,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.4998370298991989}",20,0,6.0466946248990485,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.49483865960020695}",30,16,-37.26162691256363,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.01, 'e': 0.4898902730042049}",20,0,-7.541967048504178,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.48499137027416284}",25,8,3.905874265540817,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.4801414565714212}",20,6,-7.507505503852211,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.47534004200570695}",20,12,-24.123930256817676,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.4705866415856499}",25,12,-49.98665488834444,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.01, 'e': 0.46588077516979337}",25,0,27.55670926971712,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.01, 'e': 0.46122196741809546}",25,7,-85.70044919987657,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
78,False,"{'a': 0.01, 'e': 0.4566097477439145}",20,0,-49.26182488250946,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
79,False,"{'a': 0.01, 'e': 0.45204365026647536}",20,0,-23.406665688761446,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.4475232137638106}",20,0,2.1507464618105745,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.4430479816261725}",20,3,-37.60876340368793,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.43861750180991077}",20,0,-32.04935374226857,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.01, 'e': 0.43423132679181164}",25,6,-11.462797559187809,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.4298890135238935}",30,13,-5.6228790525450565,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.4255901233886546}",35,13,-33.11524993486347,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.421334222154768}",25,11,-9.53734144559822,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.41712087993322033}",20,0,-19.32175433251188,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.41294967113388814}",25,0,-74.45053439438938,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
89,False,"{'a': 0.01, 'e': 0.40882017442254925}",25,0,-21.2006185990953,"{0: 21, 1: 1, 2: 1, 3: 2, 4: 0}",0
90,False,"{'a': 0.01, 'e': 0.4047319726783238}",20,13,11.764843255571865,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.40068465295154054}",20,14,-0.486256839704998,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.3966778064220251}",25,0,-12.27262856495591,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.39271102835780486}",20,13,-2.926144713109271,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.3887839180742268}",30,0,-64.6313014089136,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.01, 'e': 0.38489607889348454}",20,16,7.622099597832115,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.38104711810454966}",20,1,-30.396357789522053,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.37723664692350417}",35,27,12.21906367696143,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.37346428045426916}",30,0,21.794072145066828,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.36972963764972644}",30,0,-18.38257123814716,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.3660323412732292}",20,6,6.935718491218588,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.3623720178604969}",30,2,-3.0448695643064503,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.3587482976818919}",25,11,13.774375562283065,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.355160814705073}",20,8,8.416064253324631,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.35160920655802225}",20,5,25.35632706001516,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.348093114492442}",30,2,-29.197325956072838,"{0: 24, 1: 1, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.3446121833475176}",20,5,-3.367729289045551,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.34116606151404244}",20,0,-79.47241699096597,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.337754400898902}",30,21,6.434806302674149,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.334376856889913}",20,8,-3.0179722009394965,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.33103308832101386}",30,9,10.213094517461453,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.3277227574378037}",20,15,7.06392340169911,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.3244455298634257}",25,8,14.718035524166464,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.3212010745647914}",20,6,-51.05012119087195,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.3179890638191435}",25,10,25.805370539554985,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.31480917318095203}",20,8,-18.87652740217923,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.3116610814491425}",20,10,-36.465045179296354,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.30854447063465107}",25,13,6.6115247404157875,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3054590259283046}",20,3,-8.482756554849466,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.30240443566902153}",20,13,6.490406113324615,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.2993803913123313}",20,0,15.645511687431686,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.296386587399208}",25,3,-120.17581811545162,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 2}",1
122,False,"{'a': 0.01, 'e': 0.2934227215252159}",20,6,-2.8706150240539072,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.29048849430996376}",25,8,-66.21219216278611,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
124,False,"{'a': 0.01, 'e': 0.2875836093668641}",20,8,22.447865471171813,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.28470777327319546}",20,2,-15.073127482722562,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.01, 'e': 0.2818606955404635}",20,3,34.61381989353434,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.27904208858505886}",25,4,16.336280999800515,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2762516676992083}",20,10,16.112829835865245,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2734891510222162}",20,2,15.514630409583068,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
