trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
52,False,"{'a': 0.01, 'e': 0.06944284018723361}",30,19,20.72528324334774,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.01, 'e': 0.06597069817787193}",25,10,27.043667404035,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.06267216326897833}",25,14,21.66012483340364,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.05953855510552941}",30,3,-0.012732629522432148,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.01, 'e': 0.056561627350252934}",35,21,24.886627302787332,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.01, 'e': 0.053733545982740286}",30,15,24.141836197459888,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.051046868683603266}",20,13,11.318347998275046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.048494525249423104}",25,12,22.247064204005166,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.046069798986951946}",25,18,14.758528556317097,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.01, 'e': 0.043766309037604346}",20,3,26.75499252066465,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.04157799358572413}",20,13,12.170340989302877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.03949909390643792}",20,10,19.854909765654217,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.01, 'e': 0.03752413921111602}",20,13,12.748283367095912,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.01, 'e': 0.03564793225056022}",30,0,23.676959625303077,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.033865535638032206}",25,8,33.2474390819068,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.03217225885613059}",25,8,26.95834139447576,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.030563645913324063}",20,16,8.600035966924473,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.02903546361765786}",30,12,19.606628168618588,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.027583690436774964}",20,5,30.752382164967443,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.026204505914936217}",25,11,28.80831254422724,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.01, 'e': 0.024894280619189402}",30,22,14.319339591780457,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.023649566588229934}",20,3,22.205317232176444,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.022467088258818435}",20,0,31.25861724326649,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.01, 'e': 0.02134373384587751}",30,12,28.89820898988906,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.020276547153583634}",25,15,11.248777573759074,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.01926271979590445}",25,10,24.899078090920757,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.01829958380610923}",25,13,20.18993395479088,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.017384604615803767}",20,6,20.016371156533914,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.01651537438501358}",20,16,9.207816052325018,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.0156896056657629}",25,11,26.878898511780037,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.014905125382474753}",20,15,10.00855948554662,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.014159869113351015}",25,20,10.248409555423986,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.013451875657683464}",30,13,16.608825825994586,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.01, 'e': 0.012779281874799289}",25,18,9.114587449628262,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.012140317781059324}",20,9,19.480721303877615,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.011533301892006357}",20,10,20.49858089247232,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.01095663679740604}",25,7,31.36222816245286,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.010408804957535737}",20,12,14.576624636812536,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.00988836470965895}",25,13,22.415713049682147,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.01, 'e': 0.009393946474176}",20,8,7.71443010169683,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.008924249150467202}",35,23,22.94292891885875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.00847803669294384}",20,12,14.914644410665758,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.008054134858296648}",30,11,23.3407853582822,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.01, 'e': 0.007651428115381815}",25,11,19.37639477867906,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.007268856709612724}",20,9,21.74987656479094,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.01, 'e': 0.006905413874132088}",20,0,34.034293168095786,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.006560143180425483}",25,15,19.591171966720633,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.006232136021404208}",25,18,15.691035798218412,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.01, 'e': 0.0059205292203339975}",20,16,7.464543064980613,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.005624502759317297}",20,6,16.372225387090275,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.0053432776213514326}",20,11,14.604150302398878,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.00507611374028386}",20,10,20.90978857320151,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.004822308053269667}",20,9,19.545138079187613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,22,13.830718437075182,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,3,37.46379958311653,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,10,21.99711348218585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",25,10,28.55263345163842,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",20,9,21.005555045695427,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
